,Listing Type,Property Type,Building Type,City,Locality,Area,Rent,Furnishing Status,Number of Rooms,Number of Bathroom,Covered Parking,View,Floor Number,Tower/Block,Additional Rooms,Security Deposit,Available From,Age of Property (Years),Unit No,Total Floor Count,Balcony,Open/Uncovered Parking,Deposit amount,crime,hospital
3031,Rent,Residential,Apartment,Bangalore,Whitefield,1229 Sq.Ft. (Built-up Area),"50,000",Furnished,2,2,1,Garden View,9,A,Extra Room,Other,Immediately,4-Feb,102,10,Room-attached,,300000,no,no
3032,Rent,Residential,Apartment,Bangalore,Kanakapura,1630 Sq.Ft. (Saleable Area),"50,000",Furnished,3,3,1,,3,M,,Other,Later,,383,8,Individual,,500000,no,no
3033,Rent,Residential,Builder Floor,Bangalore,Kr Puram,1150 Sq.Ft. (Built-up Area),"23,000",Semi-Furnished,2,2,1,Road View,1,,,Other,Immediately,0-1,,4,Connected,1,100000,no,no
3034,Rent,Residential,Apartment,Bangalore,International Airport Road,1475 Sq.Ft. (Saleable Area),"32,000",Semi-Furnished,3,2,1,Park View,13,D,,Other,Immediately,0-1,,15,Connected,,150000,no,no
3035,Rent,Commercial,Co-working Space,Bangalore,Whitefield,500 Sq.Ft. (Saleable Area),"50,000",Furnished,,,,,3,,,,,7-May,,,,,,no,no
3036,Rent,Commercial,Office Space,Bangalore,Old Airport Road,9000 Sq.Ft. (Built-up Area),11.7 L,Furnished,,,6+,Road View,ground floor,,,Other,,10-Aug,,,Individual,,11700000,no,no
3037,Rent,Residential,Apartment,Bangalore,Indiranagar,600 Sq.Ft. (Built-up Area),"20,000",Semi-Furnished,1,1,,Road View,3,A,,Other,Immediately,4-Feb,303,5,Individual,1,70000,no,yes
3038,Rent,Residential,Builder Floor,Bangalore,Jp Nagar,1100 Sq.Ft. (Built-up Area),"40,000",Furnished,2,2,1,,2,,,Other,,,,,Room-attached,,35000,no,no
3039,Rent,Commercial,Office Space,Bangalore,Battarahalli,3500 Sq.Ft. (Carpet Area),2.45 L,Unfurnished,,,6+,Road View,1,Hebron Tower 9,,Other,,10-Aug,1,,,6+,1000000,no,no
3040,Rent,Residential,Apartment,Bangalore,Electronic City Phase ii,1150 Sq.Ft. (Built-up Area),"37,000",Semi-Furnished,2,2,1,,9,1,,Other,,0-1,8,,Connected,,280000,no,no
3041,Rent,Commercial,Warehouse,Bangalore,Makali,2500 Sq.Ft. (Built-up Area),"50,000",,,,,,,,,Other,,0-1,1,,,1,300000,no,no
3042,Rent,Residential,Apartment,Bangalore,Bellandur,1600 Sq.Ft. (Saleable Area),35 L,Unfurnished,3,3,1,Road View,,,Pooja Room,Other,Immediately,4-Feb,,,Connected,1,3500000,no,no
3043,Rent,Residential,Villa,Bangalore,Chansandra,3155 Sq.Ft. (Saleable Area),1 L,Semi-Furnished,4,6,2,Garden View,,1,Servant Room,Other,Immediately,7-May,,2,Individual,,800000,no,no
3044,Rent,Residential,Apartment,Bangalore,Ms Palya,1615 Sq.Ft. (Built-up Area),"26,000",Semi-Furnished,3,1,2,Road View,2,2,Extra Room,Other,Immediately,,,9,Connected,,160000,no,no
3045,Rent,Residential,Apartment,Bangalore,Mg Road,2230 Sq.Ft. (Built-up Area),2.5 L,Furnished,4,4,3,Garden View,3,1,Servant Room,Other,Immediately,10-Aug,6,3,Connected,,2500000,no,no
3046,Rent,Residential,Apartment,Bangalore,Electronic City Phase I,650 Sq.Ft. (Built-up Area),"12,000",Furnished,1,1,1,Park View,3,C,"Servant Room,Study Room,Extra Room",One Month,Immediately,7-May,,15,,1,,no,no
3047,Rent,Residential,Independent House,Bangalore,Jigani,650 Sq.Ft. (Built-up Area),"6,500",Unfurnished,1,1,1,Park View,,,Pooja Room,Other,Immediately,4-Feb,2,2,Connected,1,30000,no,no
3048,Rent,Residential,Apartment,Bangalore,Koramangala,1400 Sq.Ft. (Built-up Area),"80,000",Furnished,2,2,1,Park View,3,1,Pooja Room,Other,Immediately,4-Feb,1,1,"Connected,Individual,Room-attached",1,400000,no,yes
3049,Rent,Residential,Apartment,Bangalore,Budigere,1600 Sq.Ft. (Built-up Area),"30,000",Furnished,3,3,1,Garden View,3,,,Other,Immediately,4-Feb,,,Individual,1,150000,no,no
3050,Rent,Commercial,Office Space,Bangalore,Whitefield,25000 Sq.Ft. (Built-up Area),15 L,Furnished,,,6+,,,,,Other,,,,,,,10,no,no
3051,Rent,Commercial,Office Space,Bangalore,Pulikeshi Nagar,650 Sq.Ft. (Built-up Area),"40,000",Furnished,,,1,,,,,Other,,10+,,,Connected,1,400000,no,no
3052,Rent,Residential,Apartment,Bangalore,Jeevan Bima Nagar,1900 Sq.Ft. (Saleable Area),"70,000",Semi-Furnished,,,1,Community View,7,1,Pooja Room,Other,Immediately,4-Feb,1,15,Connected,,700000,no,no
3053,Rent,Residential,Apartment,Bangalore,Whitefield,1100 Sq.Ft. (Built-up Area),"28,000",Semi-Furnished,2,2,1,,1,A,,Other,Later,4-Feb,103,5,Individual,,130000,no,no
3054,Rent,Residential,Apartment,Bangalore,Hsr Layout,1000 Sq.Ft. (Built-up Area),"52,000",Semi-Furnished,2,2,2,,6th,,,Other,Immediately,4-Feb,,,,,250000,no,no
3055,Rent,Residential,Independent House,Bangalore,Murugesh Palya,573 Sq.Ft. (Built-up Area),"18,000",Semi-Furnished,1,1,,,,,,Other,Immediately,7-May,,,,,100000,no,no
3056,Rent,Residential,Apartment,Bangalore,Hebbal,1260 Sq.Ft. (Built-up Area),"38,000",Semi-Furnished,2,2,1,Garden View,1,,,,,4-Feb,,,"Connected,Room-attached",,,no,no
3057,Rent,Residential,Villa,Bangalore,Whitefield,2600 Sq.Ft. (Built-up Area),2.5 L,Furnished,4,4,2,Community View,,0,Servant Room,Other,Immediately,7-May,0,1,Connected,2,1500000,no,no
3058,Rent,Residential,Apartment,Bangalore,Frazer Town,2800 Sq.Ft. (Built-up Area),1 L,Semi-Furnished,3,3,1,Pool View,1,1,,Other,Immediately,10+,,,Connected,,1000000,no,no
3059,Rent,Residential,Apartment,Bangalore,Tc Palya Road,1000 Sq.Ft. (Built-up Area),"24,000",Semi-Furnished,2,2,1,,3,1,,Other,Immediately,0-1,1,4,Connected,1,100000,no,no
3060,Rent,Commercial,Office Space,Bangalore,Banashankari,17000 Sq.Ft. (Built-up Area),10 L,Furnished,,,6,Park View,"3 ,4,5",,,Other,,4-Feb,1,,"Connected,Individual,Room-attached",6+,18000000,yes,yes
3061,Rent,Residential,Builder Floor,Bangalore,Cambridge Layout,900 Sq.Ft. (Built-up Area),"36,000",Semi-Furnished,2,2,,Community View,2,,Pooja Room,Other,Immediately,0-1,H4,5,Individual,1,216000,no,no
3062,Rent,Residential,Apartment,Bangalore,Vidyaranyapura,1730 Sq.Ft. (Built-up Area),,Semi-Furnished,3,2,1,Road View,4,1,Pooja Room,,Immediately,0-1,1,4,Room-attached,,,no,yes
3063,Rent,Commercial,Warehouse,Bangalore,Kr Puram,10000 Sq.Ft. (Built-up Area),2 L,,,,1,,,,,Other,,10+,,,,1,2000000,no,no
3064,Rent,Residential,Apartment,Bangalore,Arekere,1900 Sq.Ft. (Built-up Area),"49,000",Semi-Furnished,3,3,1,Road View,11,A,,Other,Immediately,10+,A,19,Connected,,200000,no,no
3065,Rent,Residential,Independent House,Bangalore,Rayasandra,251 Sq.Ft. (Built-up Area),"6,000",Unfurnished,Studio,1,1,,,,,,Immediately,4-Feb,,,,,,no,no
3066,Rent,Residential,Apartment,Bangalore,Vidyaranyapura,954 Sq.Ft. (Carpet Area),"45,000",Semi-Furnished,3,3,1,Garden View,11,A,Extra Room,Other,Immediately,4-Feb,1,20,Room-attached,,300000,no,yes
3067,Rent,Residential,Apartment,Bangalore,Sanjay Nagar,1959 Sq.Ft. (Saleable Area),"55,000",Semi-Furnished,,,1,Garden View,5,3,Servant Room,Other,Immediately,,1,5,"Connected,Individual",,500000,no,no
3068,Rent,Residential,Villa,Bangalore,Kalyan Nagar,1932 Sq.Ft. (Built-up Area),"45,000",Semi-Furnished,4,4,1,Garden View,,A,Extra Room,Other,Immediately,4-Feb,1,1,Room-attached,,250000,no,no
3069,Rent,Residential,Builder Floor,Bangalore,Koramangala,1000 Sq.Ft. (Built-up Area),"35,000",Semi-Furnished,2,2,,Road View,2,,,Other,Later,7-May,,2,Connected,1,150000,no,yes
3070,Rent,Residential,Apartment,Bangalore,Konanakunte,1588 Sq.Ft. (Carpet Area),"60,000",Semi-Furnished,,,1,Park View,21,C,Study Room,Other,Immediately,4-Feb,,24,Connected,1,500000,yes,no
3071,Rent,Residential,Apartment,Bangalore,Indiranagar,1500 Sq.Ft. (Built-up Area),"45,000",Semi-Furnished,3,3,1,,2,1,Pooja Room,Other,Immediately,7-May,1,4,Connected,,200000,no,yes
3072,Rent,Residential,Apartment,Bangalore,Whitefield Road,1380 Sq.Ft. (Carpet Area),"45,000",Semi-Furnished,3,3,1,Community View,,,,Other,Immediately,4-Feb,,,"Connected,Room-attached",,175000,no,no
3073,Rent,Residential,Villa,Bangalore,Varthur,4827 Sq.Ft. (Saleable Area),2 L,Furnished,4,5,3,Garden View,,1,Pooja Room,Other,Immediately,4-Feb,,,Room-attached,,100000,no,no
3074,Rent,Residential,Apartment,Bangalore,Basavanagudi,1250 Sq.Ft. (Built-up Area),"35,000",Semi-Furnished,2,2,1,Garden View,1,A,Pooja Room,Other,Immediately,10-Aug,303,3,"Individual,Room-attached",1,350000,yes,yes
3075,Rent,Residential,Apartment,Bangalore,Jp Nagar Phase 7,2400 Sq.Ft. (Built-up Area),"70,000",Semi-Furnished,4,4,2,Pool View,Ground,,,Other,Immediately,0-1,,,Connected,1,500000,no,no
